Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.9298354017E7, 2.97619047619048E7
Trial 1-128.0, 1.55719983E7, 1.68918918918919E7
Trial 1-200.0, 1.118592885E7, 1.13636363636364E7
440,98.437,98.436,0,9.15,11.67,25.07,0,0.56,13.81
440,99.218,99.217,0,9.25,11.83,23.86,0,0.56,12.13
440,100,99.999,0,9.73,13.08,25.46,0,0.5,12.14
448,50,50,0,8.82,10.38,26.03,0,0.47,15.93
448,75,74.999,0,8.93,10.71,23.18,0,0.5,12.9
448,87.5,87.499,0,8.94,11.01,24.32,0,0.54,14.25
448,93.75,93.749,0,9,11.24,24.78,0,0.55,14.3
448,96.875,96.874,0,9.15,11.45,24.87,0,0.56,13.73
448,98.437,98.436,0,9.12,11.65,24.44,0,0.56,12.94
448,99.218,99.217,0,9.3,11.82,25.61,0,0.57,13.94
448,100,99.999,0,9.87,13.32,25.66,0,0.5,12.36
500,50,50,0,9,10.59,22.21,0,0.47,12.06
500,75,74.999,0,9.1,10.89,24.13,0,0.5,13.23
500,87.5,87.499,0,9.07,11.14,23.69,0,0.52,13.22
500,93.75,93.749,0,9.25,16.24,54.54,0,1.46,17.03
500,96.875,96.874,0.593766346029665,9.35,21.5,64.38,0,1.69,18.73
500,95.312,95.311,0.248541401904373,9.17,19.35,63.56,0,1.72,18.73
500,94.531,94.53,0.0760237395590624,9.09,18.28,63.3,0,1.71,15.81
512,50,50,0,8.96,10.63,24.38,0,0.48,14.09
512,75,74.999,0,9.25,10.92,23.19,0,0.5,12.78
512,87.5,87.499,0,9.18,11.16,24,0,0.52,13.42
512,93.75,93.749,0,9.32,11.41,28.14,0,0.54,16.65
512,96.875,96.874,0,9.36,11.62,26.91,0,0.54,16.01
512,98.437,98.436,0,9.38,11.81,25.62,0,0.54,14.08
512,99.218,99.217,0,9.46,11.96,26.01,0,0.54,14.71
512,100,99.999,0,10.01,13.2,24.85,0,0.46,11.5
1024,50,50,0,11.14,12.63,24.16,0,0.48,11.85
1024,75,74.999,0,11.15,12.94,26.56,0,0.48,14.25
1024,87.5,87.499,0,11.37,13.15,25.76,0,0.49,12.96
1024,93.75,93.749,0,11.27,13.32,24.71,0,0.5,12.22
1024,96.875,96.874,0,11.31,13.51,26.14,0,0.5,12.99
1024,98.437,98.436,0,11.4,13.69,26.77,0,0.51,13.52
1024,99.218,99.217,0,11.49,13.88,27.9,0,0.51,14.01
1024,100,99.999,0,12.22,15.86,27.27,0,0.28,11.69
1280,50,50,0,12.08,13.64,25.19,0,0.47,12.01
1280,75,74.999,0,12.06,13.94,30.06,0,0.47,16.87
1280,87.5,87.499,0,12.25,14.15,26.4,0,0.48,12.79
1280,93.75,93.749,0,12.37,14.34,27.02,0,0.48,12.65
1280,96.875,96.874,0,12.46,14.57,27.3,0,0.51,13.28
1280,98.437,98.436,0,12.44,14.81,28.29,0,0.56,13.43
1280,99.218,99.217,0,12.46,15.07,27.76,0,0.63,13.45
1280,100,99.999,0,13.16,19.09,31.99,0,0.2,11.64
1500,50,50,0,12.89,14.49,26.4,0,0.48,12.03
1500,75,74.999,0,13.08,14.75,26,0,0.48,11.77
1500,87.5,87.499,0,13.08,15.05,27.62,0,0.47,12.53
1500,93.75,93.749,0,13.25,15.25,28.76,0,0.48,13.29
1500,96.875,96.874,0,13.3,15.47,29.11,0,0.49,14.14
1500,98.437,98.436,0,13.24,15.71,27.25,0,0.53,11.88
1500,99.218,99.217,0,13.36,15.98,28.38,0,0.6,12.69
1500,100,99.999,0,13.88,19.71,32.92,0,0.15,10.95
1518,50,50,0,13.02,14.61,26.6,0,0.48,12.77
1518,75,74.999,0,13.15,14.87,29.56,0,0.48,14.29
1518,87.5,87.499,0,13.22,15.17,27.5,0,0.47,12.28
1518,93.75,93.749,0,13.36,15.37,27.78,0,0.47,12.82
1518,96.875,96.874,0,13.38,15.58,30.61,0,0.47,15.82
1518,98.437,98.436,0,13.29,15.81,27.68,0,0.48,12.34
1518,99.218,99.217,0,13.4,16.05,29.95,0,0.48,13.8
1518,100,99.999,0.129123395772641,14.36,350.62,643.25,0.33,0.63,13.2

Trial Summary Table
Trial,Frame Size (bytes),Result,Intended Load (%),Offered Load (%),Throughput (%),Port Name,Throughput (fps),Theoretical Max Throughput (fps),Throughput (Mbps),Theoretical Max Throughput (Mbps),Frame Loss (%),Max Latency Threshold Exceeded,Out of Sequence Threshold Exceeded
1,64,Passed,64.843,64.842,64.842,,19298354.017,29761904.762,12968.6,20000,0,False,False
,,,,,,Port //1/2,9649157.95,14880952.381,6484.23,10000,,,
,,,,,,Port //1/1,9649196.067,14880952.381,6484.26,10000,,,
1,128,Passed,92.187,92.186,92.186,,15571998.3,16891891.892,18437.4,20000,0,False,False
,,,,,,Port //1/2,7785985.583,8445945.946,9218.61,10000,,,
,,,,,,Port //1/1,7786012.717,8445945.946,9218.64,10000,,,
1,200,Passed,98.437,98.436,98.436,,11185928.85,11363636.364,19687.4,20000,0,False,False
,,,,,,Port //1/2,5592955.2,5681818.182,9843.6,10000,,,
,,,,,,Port //1/1,5592973.65,5681818.182,9843.63,10000,,,
1,256,Passed,100,99.999,99.999,,9057892.767,9057971.014,20000,20000,0,False,False
,,,,,,Port //1/2,4528938.45,4528985.507,9999.9,10000,,,
,,,,,,Port //1/1,4528954.317,4528985.507,9999.93,10000,,,
1,350,Passed,99.218,99.217,99.217,,6703861.8,6756756.757,19843.6,20000,0,False,False
,,,,,,Port //1/2,3351924.9,3378378.378,9921.7,10000,,,
