Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.7670981667E7, 2.97619047619048E7
Trial 1-128.0, 1.4516261317E7, 1.68918918918919E7
Trial 1-200.0, 1.1185926067E7, 1.13636363636364E7
440,98.437,98.436,0,46.35,99.39,907.11,0,17.83,780.03
440,99.218,99.217,0,47.66,101.49,817.77,0,18.23,712.07
440,100,99.999,0,52.32,116.22,745.34,0,18.94,619.52
448,50,50,0,32.08,75.3,673.5,0,44.9,600.17
448,75,74.999,0,40.57,84.03,837.48,0,13.36,792.77
448,87.5,87.499,0,43.86,88.13,841.77,0,0.9,727.22
448,93.75,93.749,0,43.35,88.01,721.33,0,8.23,620.42
448,96.875,96.874,0,45.28,94.44,712.98,0,16.61,616.69
448,98.437,98.436,0,46.63,97.61,895.09,0,17.05,785.4
448,99.218,99.217,0,47.19,99.51,719.44,0,17.45,609.14
448,100,99.999,0,50.4,116.57,749.78,0,17.5,613.95
500,50,50,0,32.97,85.38,744.14,0,0.66,632.49
500,75,74.999,0,39.32,86.39,841.19,0,34.04,773.68
500,87.5,87.499,0,44.91,93.8,836.36,0,7.38,745.39
500,93.75,93.749,0,44.81,104.52,722.4,0,3.49,613.71
500,96.875,96.874,0.561734658187242,46,107.66,840.12,0,3.46,709.56
500,95.312,95.311,0.216647776703217,43.03,105.72,900.13,0,3.65,775.1
500,94.531,94.53,0.0347392085062565,43.73,105.2,727.97,0,3.73,601.78
512,50,50,0,33.4,84.75,667.86,0,0.66,555.07
512,75,74.999,0,39.74,86.54,671.98,0,34.72,610.5
512,87.5,87.499,0,43.51,92.78,870.47,0,9.92,803.13
512,93.75,93.749,0,46.09,99.73,708.73,0,2.12,593.74
512,96.875,96.874,0,47.25,96.69,714.75,0,1.2,588.73
512,98.437,98.436,0,47.48,93.62,827.34,0,1.07,708.51
512,99.218,99.217,0.0000021447907406495,47.58,93.57,866.97,0,1.06,746.72
1024,50,50,0,36.98,102.94,646.74,0,0.7,529.19
1024,75,74.999,0,47.63,94.58,653.48,0,9.62,537.3
1024,87.5,87.499,0,49.01,102.18,775.66,0,1.14,647.19
1024,93.75,93.749,0,49.52,100.62,825.82,0,1.15,708.99
1024,96.875,96.874,0,49.62,102.01,658.09,0,1.13,534.68
1024,98.437,98.436,0,50.5,102.46,673.56,0,1.13,549.01
