Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.9172757667E7, 2.97619047619048E7
Trial 1-128.0, 1.55851708E7, 1.68918918918919E7
Trial 1-200.0, 1.1187744317E7, 1.13636363636364E7
1024,87.625,87.624,0,11.34,13.18,25.43,0,0.49,12.41
1024,93.812,93.811,0,11.35,13.36,25.73,0,0.5,12.33
1024,96.906,96.905,0,11.4,16.18,38.13,0,1.3,16.01
1024,98.453,98.452,0.0638757769932791,11.4,24.84,60.77,0,2.01,17.89
1024,97.679,97.678,0,11.44,19.77,50.73,0,1.96,14.49
1280,100,99.999,1.27732938612981,13.14,34.73,65.18,0,0.45,21.59
1280,50.5,50.5,0,12.11,13.68,24.73,0,0.48,11.11
1280,75.25,75.249,0,12.16,13.97,27.61,0,0.47,13.69
1280,87.625,87.624,0,12.3,14.2,29.16,0,0.48,15.41
1280,93.812,93.811,0,12.37,17.54,46.38,0,1.9,22.67
1280,96.906,96.905,0.537812575588921,12.35,24.56,63.54,0,3.24,23.5
1280,95.359,95.358,0.144801366204067,12.4,22.15,63.58,0,3.25,20.7
1280,94.585,94.584,0.000372014292092721,12.34,20.17,59.62,0,2.81,22.69
1500,100,99.999,0,13.85,22.12,33.67,0,0.15,9.73
1518,100,99.999,1.05389704560642,14.01,61.88,81.55,0,0.61,23.79
1518,50.5,50.5,0,13,14.67,26.5,0,0.48,12.32
1518,75.25,75.249,0,13.2,14.9,28.09,0,0.48,13.38
1518,87.625,87.624,0,13.16,15.22,27.54,0,0.47,12.47
1518,93.812,93.811,0,13.26,15.57,34.57,0,0.52,19.29
1518,96.906,96.905,0.229948101960016,13.42,24.74,63.27,0,3.63,20.89
1518,95.359,95.358,0.0000956967216485909,13.42,19.87,60.14,0,2.54,21.69
1518,94.585,94.584,0,13.33,17.41,45.77,0,1.49,22.81

Trial Summary Table
Trial,Frame Size (bytes),Result,Intended Load (%),Offered Load (%),Throughput (%),Port Name,Throughput (fps),Theoretical Max Throughput (fps),Throughput (Mbps),Theoretical Max Throughput (Mbps),Frame Loss (%),Max Latency Threshold Exceeded,Out of Sequence Threshold Exceeded
1,64,Passed,64.421,64.42,64.42,,19172757.667,29761904.762,12884.2,20000,0,False,False
