Graph: TestSummaryChart, For Y Axis : Throughput Rate (fps)
X-Axis Category, Throughput, Theoretical Throughput
Trial 1-64.0, 1.2829952633E7, 2.97619047619048E7
Trial 1-128.0, 1.2800735667E7, 1.68918918918919E7
Trial 1-200.0, 1.05644574E7, 1.13636363636364E7
Trial 1-256.0, 4599689.3, 9057971.01449276
440,96.875,96.874,0.010524100555902,45.71,121.19,9982.89,0,20.84,9855.69
440,95.312,95.311,0.00242280051034797,44.93,115.89,9401.49,0,19.43,9299.19
440,94.531,94.53,0,44.63,95.66,6530.28,0,15.76,6435.36
448,50,50,0,33.07,82.49,8856.2,0,44.45,8771.29
448,75,74.999,0,40.77,85.58,1756.43,0,13.88,1710.05
448,87.5,87.499,0,43.89,93.63,4105.03,0,2.66,3990.68
448,93.75,93.749,0,43.07,93.17,4726.11,0,11.01,4594.95
448,96.875,96.874,0,44.72,95.19,4772.05,0,16.19,4636.1
448,98.437,98.436,0.0000396195949629219,47.31,96.75,5288.21,0,17.72,5182.94
448,97.656,97.655,0,46.63,95.99,4061.71,0,17.06,3937.04
500,50,50,0,33.52,87.95,3775.95,0,1.51,3665.32
500,75,74.999,0,37.78,89.19,4432.47,0,33.72,4325.03
500,87.5,87.499,0,43.89,93.64,4015.31,0,7.55,3887.89
500,93.75,93.749,0,44.78,98.35,4663.22,0,3.97,4500.5
500,96.875,96.874,0.000985167894760336,47.97,106.19,4749.77,0,5.17,4585.15
500,95.312,95.311,0,46.36,99.96,1859.86,0,4.44,1749.84
500,96.093,96.092,0,46.12,101.3,4578.7,0,4.66,4465.08
512,50,50,0,34.24,88.15,832.47,0,1.42,717.1
512,75,74.999,0,38.86,89.29,1713.16,0,34.66,1641.37
512,87.5,87.499,0,44.61,91.72,1745.75,0,10.06,1658.46
512,93.75,93.749,0,45.18,100.95,714.15,0,3.99,619.22
512,96.875,96.874,0,46.83,101.52,1814.18,0,3.08,1700.89
512,98.437,98.436,0,47.25,100.98,1766.09,0,3,1622.66
512,99.218,99.217,0,47.53,100.5,692.77,0,2.93,575.73
512,100,99.999,0,54.37,114,1792.88,0,2.83,1669.69
1024,50,50,0,38.19,105.81,792.56,0,1.59,674.51
1024,75,74.999,0,48.71,95.82,1572.2,0,11.4,1442
1024,87.5,87.499,0,50.93,104.03,1609.92,0,2.16,1486.35
1024,93.75,93.749,0,51.6,104.79,692.21,0,2.13,562.56
1024,96.875,96.874,0,50.58,109.19,1642.55,0,3.69,1520.74
1024,98.437,98.436,0.113800855672134,51.73,127.15,721.55,0,6.29,569.43
1024,97.656,97.655,0.000352792422583231,50.31,117.15,714.42,0,5.35,592.38
1280,50,50,0,44.42,109.44,755.21,0,1.36,633.92
1280,75,74.999,0,50.18,94.72,805.54,0,37.45,707.8
1280,87.5,87.499,0,55.18,103.34,660.56,0,18.79,584.52
1280,93.75,93.749,0,56.91,113.54,668.56,0,14.02,585.71
1280,96.875,96.874,1.01268853659465,52.58,129.05,914.56,0,13.77,730.98
1280,95.312,95.311,0.226746346643909,52.84,123.73,868.41,0,15.08,724.34
1280,94.531,94.53,0.000967239639259038,57.04,118.85,669.21,0,14.89,571.38
1500,50,50,0,48.96,114.03,652.51,0,1.4,526.23
1500,75,74.999,0,47.68,113.37,799.63,0,2.93,669.24
1500,87.5,87.499,0,54.11,106.28,823.35,0,38.25,733.49
1500,93.75,93.749,0,57.95,112.63,691.76,0,26.87,575.58
1500,96.875,96.874,0,58.44,116.52,684.1,0,23.89,559.44
1500,98.437,98.436,0.0000030882961471766,61.54,119.43,830.53,0,21.83,725.06
1500,97.656,97.655,0,57.46,118.16,684.55,0,22.57,583.72
1518,50,50,0,50.83,114.11,643.53,0,1.4,518.32
1518,75,74.999,0,48.44,114.33,645.24,0,2.31,517.93
1518,87.5,87.499,0,53.48,106.1,820.47,0,39.96,742.49
1518,93.75,93.749,0.0000973391362770329,59.18,112.87,4714.31,0,28.21,4541.18
1518,90.625,90.624,0,57.07,109.24,673.85,0,33.32,576.42
1518,92.187,92.186,0,56.75,111.54,770,0,30.14,656.06
1518,92.968,92.967,0,58.07,111.53,853.36,0,28.81,782.6

Trial Summary Table
Trial,Frame Size (bytes),Result,Intended Load (%),Offered Load (%),Throughput (%),Port Name,Throughput (fps),Theoretical Max Throughput (fps),Throughput (Mbps),Theoretical Max Throughput (Mbps),Frame Loss (%),Max Latency Threshold Exceeded,Out of Sequence Threshold Exceeded
1,64,Passed,43.109,43.109,43.109,,12829952.633,29761904.762,8621.8,20000,0,False,False
,,,,,,Port //1/2,6414964.2,14880952.381,4310.86,10000,,,
,,,,,,Port //1/1,6414988.433,14880952.381,4310.87,10000,,,
1,128,Passed,75.781,75.78,75.78,,12800735.667,16891891.892,15156.2,20000,0,False,False
,,,,,,Port //1/2,6400356.067,8445945.946,7578.02,10000,,,
,,,,,,Port //1/1,6400379.6,8445945.946,7578.05,10000,,,
1,200,Passed,92.968,92.967,92.967,,10564457.4,11363636.364,18593.6,20000,0,False,False
,,,,,,Port //1/2,5282218.983,5681818.182,9296.71,10000,,,
,,,,,,Port //1/1,5282238.417,5681818.182,9296.74,10000,,,
1,256,Passed,50.781,50.781,50.781,,4599689.3,9057971.014,10156.2,20000,0,False,False
,,,,,,Port //1/2,2299840.4,4528985.507,5078.05,10000,,,
,,,,,,Port //1/1,2299848.9,4528985.507,5078.07,10000,,,
1,350,Passed,49.234,49.234,49.234,,3326593.15,6756756.757,9846.8,20000,0,False,False
,,,,,,Port //1/2,1663293.55,3378378.378,4923.35,10000,,,
,,,,,,Port //1/1,1663299.6,3378378.378,4923.37,10000,,,
1,384,Passed,47.703,47.703,47.703,,2951892.533,6188118.812,9540.6,20000,0,False,False
,,,,,,Port //1/2,1475943.733,3094059.406,4770.25,10000,,,
,,,,,,Port //1/1,1475948.8,3094059.406,4770.27,10000,,,
1,440,Passed,94.531,94.53,94.53,,5137510.533,5434782.609,18906.2,20000,0,False,False
,,,,,,Port //1/2,2568750.833,2717391.304,9453,10000,,,
,,,,,,Port //1/1,2568759.7,2717391.304,9453.04,10000,,,
1,448,Passed,97.656,97.655,97.655,,5216621.667,5341880.342,19531.2,20000,0,False,False
,,,,,,Port //1/2,2608306.65,2670940.171,9765.5,10000,,,
,,,,,,Port //1/1,2608315.017,2670940.171,9765.53,10000,,,
1,500,Passed,96.093,96.092,96.092,,4619816.567,4807692.308,19218.6,20000,0,False,False
,,,,,,Port //1/2,2309904.567,2403846.154,9609.2,10000,,,
,,,,,,Port //1/1,2309912,2403846.154,9609.23,10000,,,
1,512,Passed,100,99.999,99.999,,4699207.467,4699248.12,20000,20000,0,False,False
,,,,,,Port //1/2,2349600.283,2349624.06,9999.9,10000,,,
,,,,,,Port //1/1,2349607.183,2349624.06,9999.93,10000,,,
1,1024,Passed,96.875,96.874,96.874,,2319784.067,2394636.015,19375,20000,0,False,False
,,,,,,Port //1/2,1159890.267,1197318.008,9687.4,10000,,,
,,,,,,Port //1/1,1159893.8,1197318.008,9687.43,10000,,,
1,1280,Passed,93.75,93.749,93.749,,1802868.983,1923076.923,18750,20000,0,False,False
,,,,,,Port //1/2,901433.117,961538.462,9374.9,10000,,,
,,,,,,Port //1/1,901435.867,961538.462,9374.93,10000,,,
1,1500,Passed,97.656,97.655,97.655,,1606170.483,1644736.842,19531.2,20000,0,False,False
,,,,,,Port //1/2,803083.967,822368.421,9765.5,10000,,,
,,,,,,Port //1/1,803086.517,822368.421,9765.53,10000,,,
1,1518,Passed,92.968,92.967,92.967,,1511170.633,1625487.646,18593.6,20000,0,False,False
,,,,,,Port //1/2,755584.217,812743.823,9296.71,10000,,,
,,,,,,Port //1/1,755586.417,812743.823,9296.74,10000,,,

iMIX Distributions Table
iMIX Distribution,Frame Length Mode,IP Total Length,Default Ethernet,POS Length,Weight,Percentage (%)
N/A,N/A,N/A,N/A,N/A,N/A,N/A

\2544-Tput-Summary_2010-11-18_16-36-04.db\RFC 2544 Throughput Test Result Detailed Summary View

Trial Number,Frame Size Type,Configured Frame Size,Avg Frame Size,iMIX Distribution,Intended Load (%),Offered Load (%),Result,Throughput (%),Max Latency Threshold Exceeded,Out Of Seq Threshold Exceeded,Tx Frame Count,Rx Frame Count,Frame Loss,Percent Loss,Offered Load (fps),Forwarding Rate (fps),Minimum Latency (us),Maximum Latency (us),Average Latency (us),Minimum Jitter (us),Maximum Jitter (us),Average Jitter (us),Out Of Sequence Count,Flood Frame Count,Unexpected Rx Signature Frames,Duration(sec)
1,Fixed,64.0,64.0,N/A,50.0,50.0,Failed,0.0,False,False,892849580,675547311,217302269,24.3380602811058,14880826.333,11253638.49,23.9,132279.38,11448.38,0.0,9786.16,34.62,78643077,0,No,60.0
1,Fixed,64.0,64.0,N/A,25.5,25.5,Passed,25.5,False,False,455353256,455353256,0,0.0,7589220.933,7589221.2,33.89,738.83,85.97,0.0,654.12,42.07,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,37.75,37.75,Passed,37.75,False,False,674101400,674101400,0,0.0,11235023.333,11235024.12,44.21,826.43,100.15,0.0,752.77,39.93,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,43.875,43.875,Failed,37.75,False,False,783475468,732431211,51044257,6.51510597138442,13057924.467,12200549.07,26.96,97906.84,5068.61,0.0,4246.03,36.34,11698895,0,No,60.0
1,Fixed,64.0,64.0,N/A,40.812,40.812,Passed,40.812,False,False,728779456,728779456,0,0.0,12146324.267,12146327.2,45.89,844.98,105.78,0.0,768.38,38.66,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,42.343,42.343,Passed,42.343,False,False,756118519,756118519,0,0.0,12601975.317,12601977.64,47.32,882.36,108.93,0.0,779.99,37.39,0,0,No,60.0
1,Fixed,64.0,64.0,N/A,43.109,43.109,Passed,43.109,False,False,769797158,769797158,0,0.0,12829952.633,12829952.34,48.37,874.5,111.91,0.0,793.45,36.62,0,0,No,60.0
1,Fixed,128.0,128.0,N/A,50.0,50.0,Passed,50.0,False,False,506752474,506752474,0,0.0,8445874.567,8445874.95,37.24,769.81,92.02,0.0,690.42,43.49,0,0,No,60.0
1,Fixed,128.0,128.0,N/A,75.0,74.999,Passed,74.999,False,False,760128748,760128748,0,0.0,12668812.467,12668810.95,51.51,1591.82,115.99,0.0,1502.04,35.82,0,0,No,60.0
1,Fixed,128.0,128.0,N/A,87.5,87.499,Failed,74.999,False,False,886816709,676800435,210016274,23.6820384492778,14780278.483,11274599.47,29.08,127663.55,11429.44,0.0,1201.78,34.48,78111656,0,No,60.0
1,Fixed,128.0,128.0,N/A,81.25,81.249,Failed,74.999,False,False,823472794,725630255,97842539,11.8816966040532,13724546.567,12087679.91,36.44,106350.49,8046.77,0.0,5956.42,35.43,35690723,0,No,60.0
1,Fixed,128.0,128.0,N/A,78.125,78.124,Failed,74.999,False,False,791800852,714160132,77640720,9.80558682197528,13196680.867,11896323.83,33.0,97245.08,6926.15,0.0,1181.69,36.06,22198608,0,No,60.0
